Detail of Gifts	Item Category	Name of Recipient	Affiliation	Date	Assessed Value	Retention Cost	Retained	Remarks
"One (white) gold
set (three piece)"	Jewellery/Accessories	Brig  Tahir  Mahmud  Malik	Gen Mush	10/12/2002	178760	25314	Yes	Yes
"a.  One  Wrist
watch (Piaget)"	Watch	Brig  Tahir  Mahmud  Malik	Gen Mush	10/12/2002	68000	14460	Yes	Yes
"One visiting card
Holder"		Brig  Tahir  Mahmud  Malik	Gen Mush	14/12/2002	300	0	Yes	Yes
"a. One necklace
b. One saree"	Jewellery/Accessories	Brig  Waseem Cheema	Military	10/08/2002	7000	0	Yes	Yes
"One  decoration
piece"	Decoration Pieces	Brig  Waseem Cheema	Military	10/08/2002	1800	0	Yes	Yes
One saree	Clothes	Brig  Waseem Cheema	Military	10/08/2002	1500	0	Yes	Yes
One box of tea	Food	Brig  Waseem Cheema	Military	10/08/2002	400	0	Yes	Yes
"a.  One  piece  of
cloth
b.  One  Stone
Necklace
c.  One  ladies
velvet coat
d.  One  packet
containing book"	Jewellery/Accessories	Brig  Waseem Cheema	Military	29/10/2002	3800	0	Yes	Yes
Pen set	Pen	Brig  Waseem Cheema	Gen Mush	12/12/2002	1500	0	Auctioned	"Auctioned
for"
"One  wooden
box"		Brig  Waseem Cheema	Gen Mush	20/12/2002	1200	0	Yes	Yes
Flower vase	Decoration Pieces	Brig  Waseem Cheema	Gen Mush	27/12/2002	1000	0	Yes	Yes
"One
handmade
Irani  Carpet
and a pack of
Pistachio"	Carpet	Brig  Waseem Cheema	Military	30/12/2002	30000	3000	Yes	Yes
One saree	Clothes	Brig Nasir  Dilawar Shah	Military	10/08/2002	1500	0	Yes	Yes
"One Wrist Watch
(Concord)"	Watch	Brig Nasir  Dilawar Shah	Media	21/09/2002	30000	3000	Yes	Yes
Flower vase	Decoration Pieces	Brig Nasir  Dilawar Shah	Bureaucracy	09/01/2003	3500	0	Yes	Yes
Flower vase	Decoration Pieces	Brig Nasir  Dilawar Shah	Bureaucracy	09/01/2003	3500	0	Yes	Yes
"Pair  of  candle
stand"		Brig Nasir  Dilawar Shah	Bureaucracy	11/01/2003	3000	0	Yes	Yes
"One  piece  of
cloth"	Clothes	Brig.  (R)  Syed  Javed Hassan	Military	10/08/2002	1000	0	Yes	Yes
One Saree	Clothes	Brig.  Akmal  Aziz	Military	10/08/2002	1000	0	Yes	Yes
One Shirt	Clothes	Brig.  Akmal  Aziz	Military	10/08/2002	350	0	Yes	Yes
One Shirt	Clothes	Brig.  Akmal  Aziz	Military	10/08/2002	350	0	Yes	Yes
One shirt	Clothes	Brig.  Akmal  Aziz	Military	10/08/2002	350	0	Yes	Yes
One Flower vase	Decoration Pieces	Brig.  Akmal  Aziz	Bureaucracy	09/01/2003	3500	0	Yes	Yes
One flower vase	Decoration Pieces	Brig.  Akmal  Aziz	Bureaucracy	09/01/2003	3500	0	Yes	Yes
"Pair  of  Candle
Stand"		Brig.  Akmal  Aziz	Bureaucracy	09/01/2003	3000	0	Yes	Yes
One shirt	Clothes	Brig.  Asif  Akhtar	Military	10/08/2002	350	0	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig.  Iftikhar  Mansoor	Gen Mush	29/08/2002	75000	9750	Yes	Yes
"One  dinner  set
(180 pcs)"	Crockery	Brig.  Iftikhar  Mansoor	Military	04/09/2002	16000	900	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig.  Iftikhar  Mansoor	Media	17/09/2002	30000	3000	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig.  Imran  Malik	Military	30/08/2002	75000	9750	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig.  Imran  Malik	Military	30/08/2002	75000	9750	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig.  Imran  Malik	Military	30/08/2002	75000	9750	Yes	Yes
"One Wrist Watch
(Audmars
Piguet)  with  pair
of  ear  studs  &
one ring in white
gold & Diamond"	Watch	Brig.  Imran  Malik	Military	30/08/2002	101500	0	Yes	Yes
"One  table  clock
with  replica  of
Horse"	Decoration Pieces	Brig.  Irfan  Azam	Military	31/08/2002	100860	15129	Yes	Yes
a. One shield	Decoration Pieces	Brig.  Irfan  Azam	Military	31/08/2002	0	747	Amount	Amount
"One  jewelry  set
consisting of one
necklace,  one
bracelet, one ear
ring & one ring"	Jewellery/Accessories	Brig.  Irfan  Azam	Military	31/08/2002	304400	0	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig.  Irfan  Azam	Bureaucracy	31/08/2002	75000	0	Yes	Yes
One Carpet	Carpet	Brig.  Irfan  Azam	Gen Mush	02/09/2002	10000	0	Yes	Yes
One carpet	Carpet	Brig.  Irfan  Azam	Gen Mush	04/09/2002	10000	0	Yes	Yes
"Pair  of  Candle
Stand"		Brig.  Irfan  Azam	Bureaucracy	09/01/2003	3000	0	Yes	Yes
"One  dinner  set
(46 pcs)"	Crockery	Brig.  M.  Javed  Iqbal	Military	04/09/2002	7000	0	Yes	Yes
"One  replica  of
Horse"	Decoration Pieces	Brig.  Mian  Mohammad Halal  Hussain	Military	04/09/2002	15000	750	Yes	Yes
"One  decoration
piece  alongwith
stand"	Decoration Pieces	Brig.  Mian  Mohammad Halal  Hussain	Gen Mush	06/09/2002	1200	0	Yes	Yes
"One  Wrist  watch
(Tiffany & Co)"	Watch	Brig.  Mian  Mohammad Halal  Hussain	Military	14/09/2002	25000	2250	Yes	Yes
One necklace	Jewellery/Accessories	Brig.  Mian Muhammad  Hilal Hussain	Military	04/09/2002	15000	750	Yes	Yes
"One  dinner  set
(45 pcs)"	Crockery	Brig.  Mian Muhammad  Hilal Hussain	Military	04/09/2002	7000	0	Yes	Yes
"One  tea  set  (17
pcs)"	Crockery	Brig.  Mian Muhammad  Hilal Hussain	Military	04/09/2002	4000	0	Yes	Yes
"One  tea  set  (09
pcs)"	Crockery	Brig.  Mian Muhammad  Hilal Hussain	Military	04/09/2002	2500	0	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig.  Muhammad  Ayub Ahsan  Bahatti	Police	14/09/2002	30000	0	Yes	Yes
One bowl	Decoration Pieces	Brig.  Nazir  Ahmed Butt	Military	01/10/2002	1800	0	Yes	Yes
"One  Pen  with
stand"	Pen	Brig.  Syed  M.  Adnan	Military	01/10/2002	600	0	Yes	Yes
"One  crystal  Seal
of  the  state  of
Illinois"	Decoration Pieces	Brig.  Syed  M.  Adnan	Military	01/10/2002	0	0	Yes	Yes
One Mirror	Decoration Pieces	"Brig.  Syed  M.  Adnan
"	Gen Mush	05/10/2002	1500	0	Yes	Yes
"One  Pictorial
Book"		"Brig.  Syed  M.  Adnan
"	Gen Mush	05/10/2002	0	0	Yes	Yes
"Olive  oil  (two
tin)  (one  kg
each)"	Food	"Brig.  Syed  M.  Adnan
"	Gen Mush	16/10/2002	300	0	Yes	Yes
"a.  One  silver
bowl with lid
b.  One  set  of
books"	Decoration Pieces	Brig.  Tajdeed  Mumtaz	Military	29/10/2002	3500	0	Yes	Yes
"a.  One  Marble
Table writing set
b.  Two  piece  of
cloth
c. One clay plate
d.  One  stone
necklace
e.  Two  painting
books
f.  One  packet
having  ladies
velvet coat"	Decoration Pieces	Brig.  Tasawar  Hussain	Military	29/10/2002	7500	0	Yes	Yes
"One  kettle
alongwith  two
small cups  and
saucer"	Crockery	Brig. M. Iqbal	Gen Mush	04/09/2002	1800	0	Yes	Yes
"Pair  of  candle
stand"		Brig. Nadeem Taj	Bureaucracy	09/01/2003	3000	0	Yes	Yes
One  wrist  watch	Watch	Brig. Nadeem Taj	Media	30/09/2004	14000	600	Amount	Amount
"Model  of  Khana
Kaaba"		Brig. Qamar Zaman	Gen Mush	15/01/2003	50000	0	"Displayed at PM
House"	"Displayed at PM
House"
"One  wrist  watch,
Bulgari"	Watch	Capt  (R)  Abdul Saeed	Gen Mush	16/01/2003	62000	7800	Yes	Yes
One carpet	Carpet	Capt Khalid Sultan	Gen Mush	20/01/2003	4500	0	Yes	Yes
"One  decoration
frame"	Decoration Pieces	Capt.  (Retd.)  Abdul Majeed Niazi	Gen Mush	21/01/2003	4500	0	"Displayed at
Prime Ministers
House"	"Displayed at
Prime Ministers
House"
"Wrist  watch,
Chopard"	Watch	Capt.  Imran  Khalid  Shafi 	Media	31/01/2003	85000	11250	Yes	Yes
"a. One  Gold  bangle
and a Gold Ring
b. One  Mobile  set
Nokia"		Capt.  M  Zahid  Zaheer 	Media	31/01/2003	33000	3450	Yes	Yes
"One  wrist  watch
Rolex"	Watch	Capt.  Shah  Nawaz Jamali	Media	31/01/2003	115000	15750	Yes	Yes
"One  Wrist  watch
RADO"	Watch	Capt.  Tahira  Mubarik	Media	31/01/2003	18000	1275	Yes	Yes
"One  wrist  watch
Chopard"	Watch	"Capt. Ahmed Hasnain Ali
"	Media	31/01/2003	80000	10500	Yes	Yes
"One  wrist  watch
RADO"	Watch	Captain Khalid Mahmood	Media	31/01/2003	18000	1200	Yes	Yes
"One  wrist  watch
Chopard"	Watch	Cdr  Khurram  Javed	Media	31/01/2003	85000	0	Yes	Yes
"One  wrist  watch
RADO"	Watch	Cdr  M.  Qasim  Janjua	Media	31/01/2003	18500	0	Yes	Yes
"One  wrist  watch
Chopard"	Watch	Cdr  Memon  Asadullah	Media	31/01/2003	80000	0	Yes	Yes
"One  wrist  watch
Chopard"	Watch	Cdr.  Imran  Javed	Media	31/01/2003	85000	11250	Yes	Yes
"One  wrist  watch
RADO"	Watch	Cdr.  Imran  Javed	Media	31/01/2003	18000	1200	Yes	Yes
"One  wrist  watch
Chopard"	Watch	Cdr.  Syed  Salman  Shah	Media	31/01/2003	80000	10500	Yes	Yes
"One  wrist  watch
RADO"	Watch	Cdr.  Syed  Salman  Shah	Media	31/01/2003	18500	1275	Yes	Yes
"One  wrist  watch
Chopard"	Watch	Cdr. Ejaz Shah	Media	31/01/2003	80000	10500	Yes	Yes
"One  wrist  watch
RADO"	Watch	Ch  Shahbaz  Hussain	Media	31/01/2003	18000	1200	Yes	Yes
Wrist watch Rolex	Watch	Ch  Shahbaz  Hussain	Gen Mush	01/02/2003	270000	39000	Yes	Yes
"a. One laptop Acer
b. Jewelry Set
c. Wrist  watch
Danniel Roth"	Watch	Ch  Shahbaz  Hussain	Gen Mush	01/02/2003	214500	30675	Yes	Yes
"Wrist  watch
Concord"	Watch	Ch  Shahbaz  Hussain	Gen Mush	01/02/2003	55000	6750	Yes	Yes
Two golden coins		Ch  Shahbaz  Hussain	Gen Mush	01/02/2003	32800	3420	Yes	Yes
"a. Two  gold  items
and
b. one  mobile  set
Nokia"		Ch  Shahbaz  Hussain	Gen Mush	01/02/2003	27500	2625	Yes	Yes
One table clock		Ch  Shahbaz  Hussain	Gen Mush	01/02/2003	25000	2250	Yes	Yes
Flower vase	Decoration Pieces	Ch  Shahbaz  Hussain	Gen Mush	01/02/2003	4000	0	Yes	Yes
"One  wrist  watch
Chopard"	Watch	Ch.  Ahmad  Mukhtar	Media	31/01/2003	85000	11250	Yes	Yes
"One  wrist  watch
Chopard"	Watch	Ch.  Amir  Hussain	Media	31/01/2003	85000	11250	Yes	Yes
"One  wrist  watch
RADO"	Watch	Ch.  Amir  Hussain	Media	31/01/2003	18500	1275	Yes	Yes
"One  wrist  watch
RADO"	Watch	Ch.  Nouraiz Shakoor Khan	Media	31/01/2003	18500	1275	Yes	Yes
"One  wrist  watch
Chopard"	Watch	Ch.  Pervez  Elahi	Media	31/01/2003	0	11250	Yes	Yes
"One  wrist  watch
RADO"	Watch	Ch.  Pervez  Elahi	Media	31/01/2003	0	1350	Yes	Yes
Mobile set Nokia		Ch.  Pervez  Elahi	Bureaucracy	14/02/2003	6500	0	Yes	Yes
Wrist watch Rolex	Watch	Chairman  HITB	Military	01/02/2003	335000	48750	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman  HITB	Gen Mush	01/02/2003	45000	5250	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman  HITB	Military	01/02/2003	0	5250	Yes	Yes
"a. Two gold items
b. one  mobile  set
Nokia"		Chairman  HITB	Military	01/02/2003	41500	4725	Yes	Yes
"One  gift  pack
containing  four
cups  with  saucers
and tea pot"	Crockery	Chairman  HITB	Military	03/02/2003	3000	0	Yes	Yes
Wrist watch Rolex	Watch	Chairman  HITB	Military	07/02/2003	250000	36000	Yes	Yes
"One  wrist  watch,
Bulgari (BB 33 SS
AUTO J 286595)"	Watch	"Chairman  National
Tariff Commission"	Bureaucracy	03/02/2003	62000	7800	Yes	Yes
Mobile set Nokia		Chairman CDA	Military	14/02/2003	6500	0	Yes	Yes
Wrist watch Rolex	Watch	Chairman ERRA	Gen Mush	03/02/2003	0	54750	Yes	Yes
"a. Laptop Acer
b. Brief Case
c. Jewelry Set"		Chairman ERRA	Gen Mush	03/02/2003	159938	22491	Yes	Yes
"One  wrist  watch
Concord"	Watch	Chairman ERRA	Gen Mush	03/02/2003	55000	6750	Yes	Yes
Two gold Coins		Chairman ERRA	Gen Mush	03/02/2003	32800	3420	Yes	Yes
"One  pen,  Mont
Blank"	Pen	Chairman ERRA	Gen Mush	06/02/2003	27000	2550	Yes	Yes
"One  table  cloth
with napkin"		Chairman ERRA	Gen Mush	06/02/2003	1000	0	Auctioned	"Auctioned for
Rs.671/-"
Wrist watch Rolex	Watch	Chairman ERRA	Military	07/02/2003	335000	48750	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman ERRA	Military	07/02/2003	65000	8250	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman ERRA	Military	07/02/2003	45000	5250	Yes	Yes
"Pair  of  candle
stand"		Chairman ERRA	Military	07/02/2003	3000	0	Yes	Yes
Wrist watch Rolex	Watch	Chairman ERRA	Military	14/02/2003	265000	0	Yes	Yes
Wrist watch Rolex	Watch	Chairman NAB	Military	07/02/2003	250000	36000	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman NAB	Military	07/02/2003	45000	5250	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman NAB	Military	07/02/2003	38385	4258	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman NAB	Military	07/02/2003	25520	2328	Yes	Yes
"Wrist  watch
Omega"	Watch	Chairman NCHD	Military	14/02/2003	60000	0	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman of Senate	Military	07/02/2003	45000	5250	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman of Senate	Bureaucracy	08/02/2003	45000	5250	Yes	Yes
"One  jewelry  set
made of Gold"		Chairman of Senate	Bureaucracy	08/02/2003	38225	4234	Yes	Yes
"Wrist  watch
Rochas"	Watch	Chairman of Senate	Bureaucracy	08/02/2003	25000	2250	Yes	Yes
Wrist watch Rolex	Watch	Chairman of Senate	Gen Mush	13/02/2003	335000	48750	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman of Senate	Gen Mush	13/02/2003	65717	8358	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman of Senate	Gen Mush	13/02/2003	45000	5250	Yes	Yes
Wrist watch Rolex	Watch	Chairman of Senate	Bureaucracy	14/02/2003	335000	48750	Yes	Yes
Wrist watch Rolex	Watch	Chairman of Senate	Military	14/02/2003	335000	48750	Yes	Yes
Wrist watch Rolex	Watch	Chairman of Senate	Gen Mush	14/02/2003	335000	48750	Yes	Yes
Wrist watch Rolex	Watch	Chairman of Senate	Gen Mush	14/02/2003	240000	34500	Yes	Yes
Wrist watch Rolex	Watch	Chairman of Senate	Bureaucracy	14/02/2003	115000	15750	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman of Senate	Military	14/02/2003	65404	8311	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman of Senate	Bureaucracy	14/02/2003	63602	8041	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman of Senate	Bureaucracy	14/02/2003	60216	7533	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman of Senate	Bureaucracy	14/02/2003	45000	5250	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman of Senate	Bureaucracy	14/02/2003	45000	5250	Yes	Yes
"One  wrist watch
Chaumet"	Watch	Chairman of Senate	Military	14/02/2003	45000	5250	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman of Senate	Gen Mush	14/02/2003	45000	5250	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman of Senate	Gen Mush	14/02/2003	45000	5250	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman of Senate	Gen Mush	14/02/2003	40800	4620	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman of Senate	Gen Mush	14/02/2003	36856	4029	Yes	Yes
Wrist watch Rolex	Watch	Chairman of Senate	Gen Mush	14/02/2003	240000	0	Yes	Yes
Wrist watch Rolex	Watch	Chairman of Senate	Police	14/02/2003	115000	0	Yes	Yes
"Wrist  watch
Corum"	Watch	Chairman of Senate	Gen Mush	14/02/2003	50000	0	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chairman of Senate	Gen Mush	14/02/2003	45000	0	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chairman of Senate	Gen Mush	14/02/2003	25228	0	Yes	Yes
One Jewelry set		Chairman of Senate	Gen Mush	14/02/2003	16797	0	Yes	Yes
Mobile set Nokia		Chairman of Senate	Police	14/02/2003	6500	0	Yes	Yes
"a. One  Wrist  Watch
Omega
b. One  Mobile  Phone
Nokia 2100"	"Watch, phone"	Chaudhry  Fawad Hussain	Bureaucracy	17/02/2003	31000	3150	Yes	Yes
"Wrist  watch
Bvlgari"	Watch	Chaudhry  Salik  Hussain	Bureaucracy	22/02/2003	0	7800	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chief  of  Air  Staff	Bureaucracy	22/02/2003	39500	4425	Yes	Yes
One carpet	Carpet	Chief  of  Protocol  Ministry of Foreign Affairs	Gen Mush	26/02/2003	5500	0	Yes	Yes
"One  wrist  watch
Rolex"	Watch	Chief  of  Protocol  Ministry of Foreign Affairs	Military	01/03/2003	335000	48750	Yes	Yes
"a. One  mobile  set
Nokia
b. One Jewelry set"		Chief  of  Protocol  Ministry of Foreign Affairs	Military	01/03/2003	62500	7875	Yes	Yes
"One  wrist  watch
Chaumet"	Watch	Chief  of  Protocol  Ministry of Foreign Affairs	Military	01/03/2003	45000	5250	Yes	Yes
"a. One silver lotus
b. shield"		Chief  of  Protocol  Ministry of Foreign Affairs	Gen Mush	03/03/2003	6000	0	Yes	Yes
Flower vase	Decoration Pieces	Chief  Security  Officer  to the President	Gen Mush	01/03/2003	3000	0	Yes	Yes
"One  pen
Waterman"	Pen	Col  (R)  Aqeel  Ahmed	Gen Mush	04/03/2003	1200	0	Auctioned	"Auctioned for
Rs.1,550/-"
"One  w/watch
Chaumet"	Watch	Col  Salik  Nawaz  (Retd)	Gen Mush	07/03/2003	45000	0	Auctioned	"Auctioned for
Rs.11,000/-"
"One  w/watch
Rado"	Watch	Col.  (R)  Syed  Anwar Saeed	Media	07/03/2003	15200	0	Auctioned	"Auctioned for
Rs.12,000/-"
"One  mobile  set
Nokia 7210"		Col.  Baber  Mumtaz	Bureaucracy	19/04/2003	14000	0	Auctioned	"Auctioned for
Rs.4,601/-"
"A Wrist watch MDM
Geneva  Depone- WAT
RES 5ATM"	Watch	Col.  Baber  Mumtaz	Military	08/06/2005	58000	7200	Yes	Yes
"a. A  century  cooking
vessel
b. One  Replica  of
Dragon
(duly framed)"		Col.  Baber  Mumtaz	Gen Mush	13/12/2005	3500	0	Yes	Yes
"One appreciation plaque
(duly framed)"		Col.  Baber  Mumtaz	Gen Mush	13/12/2005	0	0	Yes	Yes
"a. A decoration piece
(two parts)
b. A wall hanging"	Decoration Pieces	Col.  Baber  Mumtaz	Gen Mush	15/12/2005	9500	0	Yes	Yes
"a. A lady suit
b. Tea set  (11 pcs)"	Crockery	Col.  Baber  Mumtaz	Gen Mush	15/12/2005	6200	0	Yes	Yes
A plate		Col.  Baber  Mumtaz	Gen Mush	15/12/2005	3000	0	Yes	Yes
A shield		Col.  Baber  Mumtaz	Gen Mush	15/12/2005	2500	0	Yes	Yes
"a. Landscape  of  Tent
village  near  Balakot
(duly framed)
b. One  Landscape  of
Commencement  of"		Col.  Baber  Mumtaz	Gen Mush	15/12/2005	2500	0	Yes	Yes
A cigarette box	Cigar/Cigarettes	Col.  Baber  Mumtaz	Gen Mush	15/12/2005	1500	0	Yes	Yes
"A  decoration  Piece
(Crystal)"	Decoration Pieces	Col.  Baber  Mumtaz	Gen Mush	15/12/2005	1200	0	Yes	Yes
"a. A shield
b. Two books
c. One Cd"		Col.  Baber  Mumtaz	Gen Mush	15/12/2005	1000	0	Yes	Yes
A book & four CDs		Col.  Baber  Mumtaz	Gen Mush	15/12/2005	0	0	Yes	Yes
A Ship Handle		Col.  Baber  Mumtaz	Gen Mush	15/12/2005	0	0	Yes	Yes
"One  stereo
cassette  recorder
AM/FM"		Col.  M.  Ilyas	Bureaucracy	23/04/2003	2500	0	Yes	Yes
"One  Afghan  made
Carpet"	Carpet	Col.  M.  Ilyas	Military	24/04/2003	6500	0	Yes	Yes
One Jewelry Box		Col.  M.  Ilyas	Military	25/04/2003	0	0	Yes	Yes
"a. One dagger 
b. One chimney"		Col.  M.  Ilyas	Gen Mush	26/04/2003	21000	1650	Yes	Yes
One carpet	Carpet	Col.  M.  Ilyas	Military	26/04/2003	18500	1275	Yes	Yes
"A  wrist  Watch  Concord
(1273144)  (14cz1894)
(Steel)"	Watch	Col.  M.  Ilyas	MMA	17/12/2005	40000	4500	Yes	Yes
One carpet	Carpet	Col.  Moeen  Iqbal	Bureaucracy	23/04/2003	7500	0	Yes	Yes
"a.  One  Wrist  Watch
Roberge Gents
b.  One  Wrist  Watch
Roberge Ladies
c.  One  Jewellery  Set
consisting  of  one
Ring,  pair  of  Ear
studs,  one  Tie  Pin  &
one Bracelet."	Watch	Col.  Salik  Nawaz 	Bureaucracy	07/03/2003	250000	36000	Yes	Yes
"One  w/watch
Chaumet"	Watch	Col.  Salik  Nawaz 	Bureaucracy	07/03/2003	45000	0	Auctioned	"Auctioned for
Rs.10,700/-"
"a. Gold  bangle  with
ring
b. Mobile  set  Nokia
6310"		Col.  Salik  Nawaz 	Bureaucracy	07/03/2003	29500	0	Auctioned	"Auctioned
a. for
Rs.48,200/-
b. for Rs.3,100/-"
"a. One shield
b. table clock"		Col.  Salik  Nawaz 	Gen Mush	08/03/2003	1500	0	Yes	Yes
"One  metallic
Shield"		Col.  Salik  Nawaz 	Bureaucracy	15/03/2003	3500	0	Yes	Yes
"One  wrist  watch
Rolex"	Watch	Col.  Salik  Nawaz 	Military	17/03/2003	335000	48750	Yes	Yes
"a. One Laptop P-IV
b. One Jewelry set
c. Brief case"		Col.  Salik  Nawaz 	Military	17/03/2003	155728	21860	Yes	Yes
"One  wrist  watch
Concord"	Watch	Col.  Salik  Nawaz 	Military	17/03/2003	70000	9000	Yes	Yes
Two Gold coins		Col.  Salik  Nawaz 	Military	17/03/2003	32800	3420	Yes	Yes
One carpet	Carpet	Col.  Salik  Nawaz 	Gen Mush	21/03/2003	7500	0	Yes	Yes
One carpet	Carpet	Col.  Salik  Nawaz 	Gen Mush	21/03/2003	6500	0	Yes	Yes
"One  wrist  watch
Attesa Citizen Co."	Watch	Col.  Salik  Nawaz 	Gen Mush	22/03/2003	1500	0	Yes	Yes
One tie		Col.  Salik  Nawaz 	Gen Mush	22/03/2003	0	0	Yes	Yes
"One  Wrist  Watch
Cloude Bernard"	Watch	Col.  Salik  Nawaz 	Gen Mush	24/03/2003	20000	1500	Yes	Yes
Tea pot (Silver)	Crockery	Col.  Salik  Nawaz 	Gen Mush	25/03/2003	7180	0	Yes	Yes
Decoration piece	Decoration Pieces	Col.  Salik  Nawaz 	Gen Mush	27/03/2003	2000	0	Yes	Yes
Decoration piece	Decoration Pieces	Col.  Salik  Nawaz 	Gen Mush	27/03/2003	1500	0	Yes	Yes
"a. Artificial  pearl
necklace
b. one  decoration
piece"	Decoration Pieces	Col.  Salik  Nawaz 	Gen Mush	27/03/2003	700	0	Yes	Yes
"One  cassette
recorder"		Col.  Salik  Nawaz 	Gen Mush	31/03/2003	2500	0	Yes	Yes
"One  wrist  watch,
Bvlgari"	Watch	Col.  Salik  Nawaz 	Gen Mush	01/04/2003	85000	11250	Yes	Yes
One carpet	Carpet	Col.  Salik  Nawaz 	Bureaucracy	04/04/2003	6500	0	Yes	Yes
"a. Qur’an Pak,
b. Piece  of  Ghilaf  e
Kaaba
c. Chimney  set
(3pcs)"		Col.  Salik  Nawaz 	Gen Mush	26/04/2003	7500	0	Yes	Yes
"One  cassette
recorder"		Col.  Salman  Saleem	Bureaucracy	04/04/2003	2500	0	Yes	Yes
"One  decoration
piece (wooden)"	Decoration Pieces	Col.  Salman  Saleem	Gen Mush	08/04/2003	2500	0	Yes	Yes
"Two  Carpet
Cushions"	Carpet	Col.  Syed  Abid  Ali  Shah	Military	09/04/2003	5000	0	Yes	Yes
"One  pen  Mont
blanc"	Pen	Commodore  Shifat  Ali Khan	Gen Mush	16/04/2003	15000	750	Yes	Yes
"One  table  clock
(Pewter)"		Cons  Sajid  Hussain	Gen Mush	16/04/2003	7000	0	Yes	Yes
Leather brief case		Cons  Sajid  Hussain	Bureaucracy	14/06/2003	5500	0	Yes	Yes
"a. One  glass  shape
decoration piece"	Decoration Pieces	Const.  Faqir  Shah	Gen Mush	16/04/2003	3000	0	Yes	Yes
"a. Brief case
b. Perfume
c. Wrist  watch
Continental
d. Ball point
e. Electronic
Dictionary"	Watch	Const.  Faqir  Shah	Gen Mush	27/04/2003	18550	1283	Yes	Yes
One Jewelry Box		Const.  Faqir  Shah	Bureaucracy	28/04/2003	750	0	Yes	Yes
"Metallic  ceramic
plate"		Const.  Faqir  Shah	Bureaucracy	24/06/2003	9000	0	"Displayed at
Chairman CDA
Office"	"Displayed at
Chairman CDA
Office"
One photo frame		Const.  Muhammad  Riaz	Gen Mush	16/04/2003	2200	0	Yes	Yes
One Table Clock		Const.  Muhammad  Riaz	Gen Mush	02/07/2005	38000	4200	Yes	Yes
"a. One  Wrist  Watch
concord
(No.1046967)
b. One  volet  (S.T
Dupont)
c. 05  Bottles  of
Perfume
d. One  Book  +  CD 
United Arab Emirates
(UAE)-2005)
e. One  Ball  Point  S.T.
Dupont
f. One celluar phone (i-
mate)  with
accessories
g. Three Neck ties (S.T.
dupont)
h. One axe
i. One brief case"	Watch	Const.  Muhammad  Riaz	Gen Mush	03/08/2005	125100	17265	Yes	Yes
A shield		Const.  Muhammad  Riaz	Gen Mush	03/09/2005	2800	0	Yes	Yes
"One  plate  shape
decoration piece"	Decoration Pieces	Const.  Raziq  Mehmood	Gen Mush	16/04/2003	3000	0	Yes	Yes
"a. Model  of  Office  of
Amir of Kuwait
b. Brief case
c. One perfume
d. One  wrist  watch
(Christian
Bernard, Paris)
e. Ball  pen
(Christian
Bernard, Paris)
f. Pair of cufflinks
g. Digital  personal
assistant"	Watch	Const.  Waseem  Ahmed	Gen Mush	26/04/2003	51900	6285	Yes	Yes
Qur’an Pak		Const. Asif Hussain  Shah	Gen Mush	27/04/2003	0	0	Yes	Yes
One carpet	Carpet	Constable  Farman  Ullah	Gen Mush	29/04/2003	7500	0	Yes	Yes
"One  cassette
recorder"		Constable  Haider  Ali	Gen Mush	30/04/2003	2500	0	Yes	Yes
"One  ball  pen
Cross with knife"	Pen	Constable  Hamad  Raza	Military	12/05/2003	3500	0	Yes	Yes
